,place_with_parent_names
0,|Brasil|Alagoas|Maceió|
1,|Brasil|Alagoas|Maceió|
2,|Brasil|Alagoas|Maceió|
3,|Brasil|Alagoas|Maceió|
4,|Brasil|Alagoas|Maceió|
5,|Brasil|Alagoas|Maceió|
6,|Brasil|Alagoas|Maceió|
7,|Brasil|Alagoas|Maceió|
8,|Brasil|Alagoas|Maceió|
9,|Brasil|Alagoas|Maceió|
10,|Brasil|Alagoas|Maceió|
11,|Brasil|Alagoas|Maceió|
12,|Brasil|Alagoas|Marechal Deodoro|
13,|Brasil|Alagoas|Maceió|
14,|Brasil|Alagoas|Maceió|
15,|Brasil|Alagoas|Maceió|
16,|Brasil|Alagoas|Maceió|
17,|Brasil|Alagoas|Maceió|
18,|Brasil|Alagoas|Maceió|
19,|Brasil|Alagoas|Maceió|
20,|Brasil|Alagoas|Maceió|
21,|Brasil|Alagoas|Maceió|
22,|Brasil|Alagoas|Maceió|
23,|Brasil|Alagoas|Maceió|
24,|Brasil|Alagoas|Maceió|
25,|Brasil|Alagoas|Maceió|
26,|Brasil|Alagoas|Maceió|
27,|Brasil|Amapá|Macapá|
28,|Brasil|Amazonas|Manaus|Santo Agostinho|
29,|Brasil|Amazonas|Manaus|Parque 10 de Novembro|
30,|Brasil|Amazonas|Manaus|Flores|
31,|Brasil|Amazonas|Manaus|Flores|
32,|Brasil|Bahia|Salvador|Nazaré|
33,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|
34,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|
35,|Brasil|Bahia|Salvador|Pituba|
36,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|
37,|Brasil|Bahia|Salvador|Pituba|
38,|Brasil|Bahia|Salvador|Pituaçu|
39,|Brasil|Bahia|Lauro de Freitas|Pitangueiras|
40,|Brasil|Bahia|Salvador|Caminho das Árvores|
41,|Brasil|Bahia|Salvador|Rio Vermelho|
42,|Brasil|Bahia|Salvador|Patamares|
43,|Brasil|Bahia|Salvador|Patamares|
44,|Brasil|Bahia|Salvador|Patamares|
45,|Brasil|Bahia|Salvador|Itapuã|
46,|Brasil|Bahia|Mata de São João|
47,|Brasil|Bahia|Salvador|Caminho das Árvores|
48,|Brasil|Bahia|Salvador|Itapuã|
49,|Brasil|Bahia|Salvador|Barra|
50,|Brasil|Bahia|Salvador|Stella Maris|
51,|Brasil|Bahia|Salvador|Pituba|
52,|Brasil|Bahia|Salvador|Candeal|
53,|Brasil|Bahia|Mata de São João|
54,|Brasil|Bahia|Salvador|Imbuí|
55,|Brasil|Bahia|Salvador|Caminho das Árvores|
56,|Brasil|Bahia|Salvador|Caminho das Árvores|
57,|Brasil|Bahia|Salvador|Caminho das Árvores|
58,|Brasil|Bahia|Salvador|Itaigara|
59,|Brasil|Bahia|Salvador|Rio Vermelho|
60,|Brasil|Bahia|Salvador|Rio Vermelho|
61,|Brasil|Bahia|Salvador|Pituaçu|
62,|Brasil|Bahia|Salvador|Imbuí|
