,property_type
0,apartment
1,apartment
2,house
3,apartment
4,apartment
5,apartment
6,apartment
7,apartment
8,apartment
9,apartment
10,apartment
11,apartment
12,house
13,apartment
14,apartment
15,apartment
16,apartment
17,apartment
18,apartment
19,apartment
20,apartment
21,apartment
22,apartment
23,apartment
24,apartment
25,apartment
26,apartment
27,apartment
28,apartment
29,house
30,house
31,house
32,house
33,house
34,house
35,apartment
36,house
37,apartment
38,apartment
39,house
40,apartment
41,house
42,apartment
43,apartment
44,apartment
45,house
46,apartment
47,apartment
48,apartment
49,apartment
50,house
51,apartment
52,apartment
53,apartment
54,apartment
55,apartment
56,apartment
57,apartment
58,apartment
59,apartment
60,apartment
61,apartment
62,apartment
63,apartment
64,apartment
65,apartment
66,apartment
67,apartment
68,apartment
69,apartment
70,apartment
71,apartment
72,house
73,apartment
74,apartment
75,apartment
76,apartment
77,apartment
78,apartment
79,apartment
80,house
81,apartment
82,apartment
83,house
84,apartment
85,apartment
86,apartment
87,apartment
88,apartment
89,apartment
90,apartment
91,apartment
92,apartment
93,apartment
94,apartment
95,apartment
96,apartment
97,apartment
98,apartment
99,house
100,apartment
101,house
102,apartment
103,house
104,apartment
105,apartment
106,house
107,apartment
108,house
109,apartment
110,apartment
111,apartment
112,apartment
113,apartment
114,house
115,apartment
116,apartment
117,apartment
118,apartment
119,apartment
120,apartment
121,apartment
122,apartment
123,apartment
124,apartment
125,apartment
126,apartment
127,apartment
128,apartment
129,apartment
130,apartment
131,apartment
132,apartment
133,apartment
134,apartment
135,apartment
136,apartment
137,house
138,house
139,apartment
140,apartment
141,apartment
142,apartment
143,house
144,apartment
145,apartment
146,apartment
147,house
148,apartment
149,house
150,apartment
151,apartment
152,apartment
153,apartment
154,apartment
155,apartment
156,apartment
157,apartment
158,apartment
159,apartment
160,apartment
161,apartment
162,house
163,apartment
164,apartment
165,apartment
166,apartment
167,apartment
168,apartment
169,apartment
170,apartment
171,apartment
172,apartment
173,apartment
174,apartment
175,apartment
176,apartment
177,apartment
178,apartment
179,apartment
180,apartment
181,apartment
182,apartment
183,apartment
184,apartment
185,apartment
186,apartment
187,apartment
188,apartment
189,apartment
190,apartment
191,apartment
192,apartment
193,apartment
194,apartment
195,apartment
196,apartment
197,apartment
198,apartment
199,apartment
200,apartment
201,apartment
202,apartment
203,apartment
204,apartment
205,apartment
206,apartment
207,apartment
208,apartment
209,apartment
210,apartment
211,apartment
212,apartment
213,apartment
214,apartment
215,apartment
216,apartment
217,apartment
218,apartment
219,apartment
220,house
221,house
222,apartment
223,apartment
224,apartment
225,apartment
226,apartment
227,apartment
228,house
229,house
230,house
231,apartment
232,apartment
233,apartment
234,apartment
235,apartment
236,apartment
237,apartment
238,apartment
239,apartment
240,apartment
241,apartment
242,apartment
243,apartment
244,apartment
245,apartment
246,apartment
247,apartment
248,apartment
249,apartment
250,house
251,apartment
252,apartment
253,apartment
254,apartment
255,apartment
256,apartment
257,apartment
258,apartment
259,apartment
260,apartment
261,apartment
262,apartment
263,apartment
264,apartment
265,apartment
266,apartment
267,apartment
268,apartment
269,apartment
270,apartment
271,apartment
272,apartment
273,apartment
274,apartment
275,apartment
276,apartment
277,apartment
278,house
279,apartment
280,apartment
281,apartment
282,apartment
283,apartment
284,apartment
285,apartment
286,apartment
287,apartment
288,apartment
289,apartment
290,apartment
291,apartment
292,apartment
293,house
294,apartment
295,apartment
296,apartment
297,apartment
298,apartment
299,apartment
300,apartment
301,apartment
302,apartment
303,apartment
304,apartment
305,apartment
306,apartment
307,apartment
308,apartment
309,apartment
310,apartment
311,apartment
312,apartment
313,apartment
314,apartment
315,apartment
316,apartment
317,apartment
318,house
319,apartment
320,apartment
321,apartment
322,apartment
323,apartment
324,apartment
325,apartment
326,apartment
327,apartment
328,apartment
329,apartment
330,apartment
331,apartment
332,apartment
333,apartment
334,apartment
335,apartment
336,apartment
337,apartment
338,apartment
339,apartment
340,apartment
341,apartment
342,apartment
343,apartment
344,apartment
345,apartment
346,apartment
347,apartment
348,apartment
349,apartment
350,apartment
351,apartment
352,apartment
353,apartment
354,apartment
355,apartment
356,apartment
357,apartment
358,apartment
359,apartment
360,house
361,apartment
362,apartment
363,house
364,apartment
365,apartment
366,apartment
367,apartment
368,apartment
369,apartment
370,apartment
371,apartment
372,apartment
373,apartment
374,apartment
375,apartment
376,apartment
377,apartment
378,house
379,apartment
380,house
381,house
382,apartment
383,apartment
384,apartment
385,house
386,house
387,house
388,apartment
389,house
390,apartment
391,apartment
392,house
393,apartment
394,apartment
395,apartment
396,apartment
397,house
398,apartment
399,house
400,house
401,apartment
402,apartment
403,apartment
404,apartment
405,apartment
406,apartment
407,apartment
408,apartment
409,apartment
410,apartment
411,apartment
412,apartment
413,apartment
414,apartment
415,apartment
416,apartment
417,apartment
418,apartment
419,apartment
420,apartment
421,apartment
422,apartment
423,apartment
424,apartment
425,house
426,apartment
427,house
428,house
429,house
430,house
431,house
432,apartment
433,apartment
434,apartment
435,apartment
436,apartment
437,apartment
438,apartment
439,apartment
440,apartment
441,house
442,apartment
443,apartment
444,apartment
445,apartment
446,apartment
447,apartment
448,apartment
449,apartment
450,apartment
451,apartment
452,apartment
453,apartment
454,apartment
455,apartment
456,apartment
457,apartment
458,apartment
459,apartment
460,apartment
461,apartment
462,apartment
463,apartment
464,apartment
465,apartment
466,apartment
467,apartment
468,apartment
469,house
470,apartment
471,apartment
472,apartment
473,apartment
474,apartment
475,apartment
476,house
477,apartment
478,apartment
479,apartment
480,apartment
481,apartment
482,apartment
483,apartment
484,house
485,apartment
486,apartment
487,house
488,apartment
489,apartment
490,apartment
491,apartment
492,apartment
493,apartment
494,apartment
495,house
496,apartment
497,apartment
498,apartment
499,apartment
500,apartment
501,apartment
502,apartment
503,apartment
504,apartment
505,apartment
506,apartment
507,house
508,apartment
509,apartment
510,apartment
511,apartment
512,apartment
513,house
514,apartment
515,house
516,apartment
517,apartment
518,apartment
519,apartment
520,apartment
521,apartment
522,apartment
523,apartment
524,apartment
525,apartment
526,apartment
527,house
528,apartment
529,apartment
530,apartment
531,apartment
532,apartment
533,house
534,apartment
535,apartment
536,apartment
537,apartment
538,apartment
539,apartment
540,apartment
541,apartment
542,apartment
543,apartment
544,apartment
545,apartment
546,apartment
547,apartment
548,apartment
549,apartment
550,apartment
551,apartment
552,apartment
553,apartment
554,apartment
555,apartment
556,house
557,apartment
558,apartment
559,apartment
560,apartment
561,house
562,apartment
563,apartment
564,apartment
565,house
566,apartment
567,apartment
568,apartment
569,apartment
570,apartment
571,apartment
572,house
573,apartment
574,house
575,apartment
576,apartment
577,house
578,apartment
579,apartment
580,apartment
581,apartment
582,apartment
583,apartment
584,apartment
585,apartment
586,apartment
587,apartment
588,apartment
589,apartment
590,apartment
591,apartment
592,apartment
593,apartment
594,apartment
595,apartment
596,apartment
597,apartment
598,apartment
599,apartment
600,apartment
601,apartment
602,apartment
603,apartment
604,apartment
605,apartment
606,apartment
607,apartment
608,apartment
609,apartment
610,apartment
611,apartment
612,apartment
613,apartment
614,apartment
615,apartment
616,apartment
617,apartment
618,house
619,apartment
620,apartment
621,house
622,apartment
623,apartment
624,apartment
625,apartment
626,apartment
627,apartment
628,apartment
629,apartment
630,apartment
631,apartment
632,apartment
633,apartment
634,apartment
635,apartment
636,apartment
637,apartment
638,apartment
639,apartment
640,apartment
641,apartment
642,apartment
643,apartment
644,apartment
645,apartment
646,apartment
647,apartment
648,apartment
649,apartment
650,apartment
651,apartment
652,apartment
653,apartment
654,apartment
655,apartment
656,apartment
657,apartment
658,apartment
659,house
660,apartment
661,apartment
662,apartment
663,apartment
664,apartment
665,apartment
666,house
667,apartment
668,apartment
669,apartment
670,apartment
671,apartment
672,apartment
673,apartment
674,apartment
675,apartment
676,apartment
677,apartment
678,apartment
679,apartment
680,apartment
681,apartment
682,house
683,apartment
684,apartment
685,apartment
686,apartment
687,apartment
688,apartment
689,apartment
690,apartment
691,apartment
692,apartment
693,house
694,apartment
695,apartment
696,apartment
697,apartment
698,apartment
699,house
700,house
701,apartment
702,apartment
703,apartment
704,apartment
705,apartment
706,house
707,house
708,apartment
709,apartment
710,apartment
711,apartment
712,apartment
713,apartment
714,apartment
715,apartment
716,apartment
717,apartment
718,apartment
719,apartment
720,apartment
721,apartment
722,apartment
723,apartment
724,apartment
725,apartment
726,apartment
727,house
728,apartment
729,apartment
730,apartment
731,apartment
732,apartment
733,apartment
734,apartment
735,apartment
736,apartment
737,apartment
738,apartment
739,apartment
740,apartment
741,house
742,apartment
743,apartment
744,apartment
745,apartment
746,apartment
747,apartment
748,apartment
749,house
750,apartment
751,apartment
752,apartment
753,apartment
