,region
0,Northeast
1,Northeast
2,Northeast
3,Northeast
4,Northeast
5,Northeast
6,Northeast
7,Northeast
8,Northeast
9,Northeast
10,Northeast
11,Northeast
12,Northeast
13,Northeast
14,Northeast
15,Northeast
16,Northeast
17,Northeast
18,Northeast
19,Northeast
20,Northeast
21,Northeast
22,Northeast
23,Northeast
24,Northeast
25,Northeast
26,Northeast
27,North
28,North
29,North
30,North
31,North
32,Northeast
33,Northeast
34,Northeast
35,Northeast
36,Northeast
37,Northeast
38,Northeast
39,Northeast
40,Northeast
41,Northeast
42,Northeast
43,Northeast
44,Northeast
45,Northeast
46,Northeast
47,Northeast
48,Northeast
49,Northeast
50,Northeast
51,Northeast
52,Northeast
53,Northeast
54,Northeast
55,Northeast
56,Northeast
57,Northeast
58,Northeast
59,Northeast
60,Northeast
61,Northeast
62,Northeast
63,Northeast
64,Northeast
65,Northeast
66,Northeast
67,Northeast
68,Northeast
69,Northeast
70,Northeast
71,Northeast
72,Northeast
73,Northeast
74,Northeast
75,Northeast
76,Northeast
77,Northeast
78,Northeast
79,Northeast
80,Northeast
81,Northeast
82,Northeast
83,Northeast
84,Northeast
85,Northeast
86,Northeast
87,Northeast
88,Northeast
89,Northeast
90,Northeast
91,Northeast
92,Northeast
93,Northeast
94,Northeast
95,Northeast
96,Northeast
97,Northeast
98,Northeast
99,Northeast
100,Northeast
101,Northeast
102,Northeast
103,Northeast
104,Northeast
105,Northeast
106,Northeast
107,Northeast
108,Northeast
109,Northeast
110,Northeast
111,Northeast
112,Northeast
113,Northeast
114,Northeast
115,Northeast
116,Northeast
117,Northeast
118,Northeast
119,Northeast
120,Northeast
121,Northeast
122,Northeast
123,Northeast
124,Northeast
125,Northeast
126,Northeast
127,Northeast
128,Northeast
129,Northeast
130,Northeast
131,Northeast
132,Northeast
133,Northeast
134,Northeast
135,Northeast
136,Northeast
137,Northeast
138,Northeast
139,Northeast
140,Northeast
141,Northeast
142,Northeast
143,Northeast
